time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1517.4181840242127,,,3.0946701e-03,208771,1091.27845,678.71201,2.2066829e+03,1.1058820e+01,6.0185078e+03,5.1426654e+00,,,1000000000000,,,,,1091.27845,3.0983128e-03,678.71201,3.5135099e-03,5.6808598e-02,-1.0821652e-01
1517.4195729167095,,,3.0946743e-03,208772,1091.27895,678.70427,2.1656091e+03,1.1011522e+01,5.9703140e+03,5.1246028e+00,,,1000000000000,,,,,1091.27895,3.1458742e-03,678.70427,3.5716323e-03,5.9685174e-02,-1.1974028e-01
1517.420961808973,,,3.0946783e-03,208773,1091.27662,678.71030,2.1971826e+03,1.0990840e+01,5.9208682e+03,5.1065106e+00,,,1000000000000,,,,,1091.27662,3.0939896e-03,678.71030,3.5083229e-03,5.8932938e-02,-1.0798193e-01
1517.422350701469,,,3.0946825e-03,208774,1091.27532,678.71038,2.1925632e+03,1.0958281e+01,5.8797798e+03,5.0903759e+00,,,1000000000000,,,,,1091.27532,3.0937223e-03,678.71038,3.5060134e-03,5.7365809e-02,-1.1188900e-01
1517.4237395939667,,,3.0946867e-03,208775,1091.28172,678.71044,2.1915239e+03,1.0924103e+01,5.8409873e+03,5.0699935e+00,,,1000000000000,,,,,1091.28172,3.0842479e-03,678.71044,3.4999729e-03,5.8408797e-02,-1.1769908e-01
1517.4251284862316,,,3.0946906e-03,208776,1091.28041,678.71272,2.2004402e+03,1.0903495e+01,5.8014463e+03,5.0552502e+00,,,1000000000000,,,,,1091.28041,3.0676264e-03,678.71272,3.4730586e-03,6.1225984e-02,-1.0502741e-01
1517.4265173787276,,,3.0946948e-03,208777,1091.28044,678.70952,2.1909780e+03,1.0862172e+01,5.7491064e+03,5.0368390e+00,,,1000000000000,,,,,1091.28044,3.0691696e-03,678.70952,3.4805867e-03,5.8723751e-02,-1.1488266e-01
1517.4279062712246,,,3.0946990e-03,208778,1091.28065,678.71344,2.2033257e+03,1.0842141e+01,5.7104238e+03,5.0205541e+00,,,1000000000000,,,,,1091.28065,3.0465040e-03,678.71344,3.4474207e-03,6.1777573e-02,-1.1258211e-01
1517.4292951637221,,,3.0947032e-03,208779,1091.28470,678.70765,2.1937397e+03,1.0809905e+01,5.6737373e+03,5.0059776e+00,,,1000000000000,,,,,1091.28470,3.0488870e-03,678.70765,3.4601849e-03,6.0020629e-02,-1.1191395e-01
1517.430684056219,,,3.0947074e-03,208780,1091.27926,678.70814,2.1983950e+03,1.0780987e+01,5.6247178e+03,4.9856672e+00,,,1000000000000,,,,,1091.27926,3.0376851e-03,678.70814,3.4401971e-03,5.7307601e-02,-1.1280230e-01
